epoch;loss;acc;f1_score;auc
0;0.6707;0.61;0.0823;0.5166
1;0.6428;0.6384;0.3;0.6244
2;0.6078;0.6737;0.4705;0.6953
3;0.5573;0.7037;0.5635;0.7632
4;0.5154;0.7425;0.6389;0.8079
5;0.4548;0.7853;0.7072;0.8573
6;0.3934;0.8196;0.7596;0.8968
7;0.3326;0.8553;0.8085;0.9283
8;0.2914;0.8787;0.8427;0.9448
9;0.2299;0.9078;0.8799;0.9657
